Date, Instance, Algorithm, RandSeed, Duration, IterCount, GenerationCount, Optima, Solution
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.069, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.067, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.066, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.068, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.064, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.07, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:16:28, DSJC250.5.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 98.11, 18591519, 0, 0, (28)21 12 20 16 21 27 15 10 24 8 11 19 26 19 5 21 2 3 26 5 10 8 23 15 17 0 14 13 21 9 12 22 9 12 5 1 1 20 2 16 20 10 23 27 5 3 26 24 27 13 8 13 7 16 16 2 14 13 0 13 16 5 1 0 20 23 3 14 17 17 9 19 8 5 21 9 15 12 16 7 24 20 9 12 13 17 11 5 26 15 10 11 11 3 9 2 7 24 12 7 14 8 19 22 7 0 21 6 13 5 6 23 7 23 25 2 19 25 20 20 14 10 5 26 25 2 4 7 16 6 23 8 0 15 23 3 13 20 3 9 27 7 14 1 8 6 15 27 2 11 16 26 14 9 5 10 14 25 8 18 27 25 10 1 11 7 24 11 12 14 3 4 23 0 17 22 5 22 24 20 24 10 6 10 11 4 25 6 22 8 0 23 18 27 9 19 25 1 9 19 15 21 6 4 23 3 0 4 26 7 2 22 6 13 26 25 18 4 22 17 13 18 4 26 17 19 1 6 21 18 3 2 7 2 24 17 22 21 1 16 8 18 16 15 4 7 4 1 3 4 
2014-11-08 Sat 18:20:32, DSJC250.5.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441788, 243.34, 46717130, 0, 0, (28)1 16 9 10 1 17 22 11 17 2 14 22 5 21 21 5 9 20 27 13 11 13 19 10 26 2 0 4 1 3 18 0 6 26 5 22 12 17 20 12 25 11 4 18 26 22 18 17 6 24 27 24 15 21 18 13 12 14 16 3 7 24 25 6 19 16 17 7 0 6 2 20 10 27 5 23 27 7 1 15 17 1 21 18 16 21 14 8 5 6 11 14 23 27 3 26 15 17 25 15 9 2 2 8 15 25 1 8 22 7 8 3 15 21 10 16 21 24 19 16 9 11 10 7 24 19 18 15 12 8 23 27 9 22 4 6 7 19 7 23 22 15 25 25 2 8 5 26 21 14 5 20 26 3 13 11 4 0 13 6 6 24 11 23 14 15 14 19 7 2 6 10 13 0 19 24 21 0 23 27 17 11 16 11 5 16 7 16 12 18 25 22 3 25 23 21 0 25 3 2 4 3 8 13 18 16 9 4 22 15 12 2 12 17 10 24 3 1 0 23 24 9 4 5 26 19 10 8 1 10 26 9 15 12 17 19 25 1 22 20 18 17 2 14 0 15 3 19 22 23 
2014-11-08 Sat 18:23:05, DSJC250.5.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415442032, 153.33, 28626359, 0, 0, (28)25 26 20 26 25 17 11 24 17 8 26 6 19 18 12 25 27 13 4 12 21 15 15 18 18 8 16 6 25 18 15 7 0 27 12 4 24 17 10 10 20 21 2 15 12 14 5 17 11 11 22 11 23 7 15 22 10 14 8 5 10 12 4 13 27 4 17 10 9 27 0 6 16 12 25 0 3 3 11 23 17 4 0 27 1 4 14 12 19 9 14 14 2 3 0 19 23 17 2 23 9 8 6 2 23 9 21 2 19 12 2 24 23 16 26 22 18 11 24 5 19 1 12 20 3 9 21 23 21 10 9 26 7 16 16 13 6 5 20 0 4 23 10 4 8 1 18 27 7 10 11 14 16 0 12 26 19 7 22 3 22 4 1 18 2 23 14 5 2 8 13 13 21 13 9 7 12 19 20 5 17 22 10 21 1 1 3 5 27 15 26 20 15 27 0 6 16 11 0 8 18 25 3 22 15 21 24 22 4 23 24 8 10 17 22 3 1 13 7 9 5 19 9 5 6 6 22 20 25 26 21 1 23 20 17 9 20 25 18 21 15 17 8 14 16 23 16 13 20 26 
2014-11-08 Sat 18:24:52, DSJC250.5.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415442185, 106.991, 20290584, 0, 0, (28)7 8 19 19 15 16 16 27 24 4 18 7 26 3 3 26 8 6 12 12 27 19 14 25 16 4 11 13 23 21 0 25 14 22 26 7 7 22 1 1 9 27 24 0 22 7 0 17 23 23 6 23 2 3 26 12 1 25 13 13 25 23 9 20 24 11 15 1 5 5 4 6 12 6 25 20 7 0 25 2 24 10 3 0 11 3 5 21 26 13 11 19 18 6 21 11 2 20 9 2 19 4 4 8 2 9 16 16 10 13 15 21 2 15 8 17 19 23 24 24 5 27 5 22 10 26 0 2 25 1 25 6 13 16 14 22 22 13 22 18 23 2 1 9 4 11 12 27 3 1 26 19 7 7 11 27 15 10 12 20 14 23 27 14 6 2 5 18 14 4 20 19 16 5 18 23 3 8 22 13 5 27 11 8 26 11 10 8 0 0 9 16 21 9 20 3 10 9 21 4 15 6 20 17 24 5 21 13 10 2 1 4 1 17 12 10 11 15 24 3 13 19 15 26 18 18 12 24 25 5 16 1 2 7 24 18 27 15 12 6 7 17 4 9 17 2 21 9 22 25 
